"site","ntbg.accession","ntbg.plant.number","plt.date","gpslatdec","gpslongdec","kpep.georef","founder.georef","X19.survival","X19.vigor","X19.height","X19.diameter","X19.reproduction","X21.date.monitored","X21.survival","X21.vigor","X21.height","X21.diameter","X21.reproduction","change.height","change.diam","rel.delta.height","rel.delta.diam","comments","canopy.cover","percent.native","understory.height","species1","species1.percent","species2","species2.percent","species3","species3.percent","species4","species4.percent","species5","species5.percent","slope.angle","aspect","Ageratum.conyzoides","Alyxia.stellata","Andropogon.spp","Andropogon.spp ","Antidesma.platyphyllum","Asplenium.spp","Bidens.spp","Blechnum.appendiculatum","Christella.dentata","Cibotium.glaucum","Clidemia.hirta","Cordyline.fruticosa","Cyanea.spp","Cyperus.spp","Cyrtandra.spp","Dianella.sandwicensis","Dicranopteris.linearis","Diospyros.sandwicensis","Diplazium.sandwichianum","Diplopterygium.pinnatum","Diplopterygium.pinnatum ","Doryopteris.sp","Dryopteris.spp","Dubautia.spp","Elaphoglossum.spp","Elephantopus.mollis","Freycinetia.arborea","Gahnia.beecheyi","Hydrangea.arguta","Ilex.anomala","Invasive.Grass","invherb","invwood","Ipomea.spp","Kadua.spp","Leptecophylla.tameiameiae","Leucaena.leucocephala","Machaerina.angustifolia","Machaerina.mariscoides","Megathyrsus.maximus","Melastoma.septemnervium","Melinis.minutiflora","Metrosideros.polymorpha","Microlepia.strigosa ","Myrsine.lessertiana","nativeherb","nativewood","Nephrolepis.spp","Odontosoria.chinensis","Oplismenus.hirtellus","Paederia.foetida","Palhinhaea.cernua","Passiflora.spp","Peperomia.spp","Perrottetia.sandwicensis","Phaius.tankervilleae","Phlebotium.aureum","Pipturus.albidus","Pipturus.ruber","Pluchea.spp","Polyscias.oahuensis","Psidium.cattleyanum","Psychotria.mariniana","Psychotria.spp","Rubus.argutus","Sadleria.cyatheoides","Sadleria.spp","Scaevola.gaudichaudiana","Scaevola.procera","Schinus.terebinthifolius","Selaginella.spp","Stachytarpheta.cayennensis","Syzygium.sandwicense","Tectaria.gaudichaudii","Vaccinium.calycinum","Viola.wailenalenae","NA"
"HaupuSummit",20200236,"034","2017-11-21",21.925734,-159.402206,"POLBIS-KA-HUL-W-1008","POLBIS-KA-XXX-X-XXXX","alive","moderate","53","0.8","vegetative","2021-11-24","alive","moderate",62,0.7,"vegetative",9,0,0.14516129,0,NA,0,NA,0.25,"Rubus.argutus",20,"Dicranopteris.linearis",20,"Invasive.Grass",20,"Blechnum.appendiculatum",20,"Invasive.Grass",20,50,"N",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"HaupuSummit",20200236,"035","2017-11-21",21.925633,-159.402089,"POLBIS-KA-HUL-W-1010","POLBIS-KA-XXX-X-XXXX","alive","moderate","45","0.8","vegetative","2021-12-20","alive","healthy",49,0.9,"vegetative",4,0.1,0.081632653,0.111111111,"yellow leaves",0,NA,0.5,"Melastoma.septemnervium",50,"Invasive.Grass",20,"Dicranopteris.linearis",10,"Odontosoria.chinensis",10,"Christella.dentata",10,50,"NE",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HaupuSummit",20200236,"037","2017-11-21",21.92471,-159.401202,"POLBIS-KA-HUL-W-1011","POLBIS-KA-XXX-X-XXXX","not.found","not.found","not.found","not.found","not.found","2021-12-22","alive","healthy",68,1.3,"vegetative",NA,NA,NA,NA,NA,0,NA,0.25,"Machaerina.mariscoides",20,"Invasive.Grass",50,"Rubus.argutus",10,"Dicranopteris.linearis",10,"Blechnum.appendiculatum",10,20,"NE",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Kanaele",20160808,"038","2017-09-27",21.971918,-159.506296,"POLBIS-KA-WAH-A-0118","POLBIS-KA-HUL-B-0001","not.found","not.found","not.found","not.found","not.found","2022-01-21","alive","poor",39,0.6,"vegetative",NA,NA,NA,NA,NA,0,NA,1.5,"Dicranopteris.linearis",80,"Andropogon.spp",20,"Melastoma.septemnervium",10,NA,NA,NA,NA,10,"SE",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"540","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0029","POLBIS-KA-HUL-D-0007","alive","moderate","63","0.8","vegetative","2022-02-02","alive","moderate",68,0.9,"vegetative",5,0.1,0.073529412,0.111111111,"yellow leaves",0,NA,1,"Dicranopteris.linearis",80,"Melastoma.septemnervium",20,NA,NA,NA,NA,NA,NA,40,"E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"539","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0038","POLBIS-KA-HUL-D-0007","alive","healthy","87","1.1","vegetative","2022-02-02","alive","healthy",96,1.4,"vegetative",9,0.3,0.09375,0.214285714,"yellow",0,NA,1,"Dicranopteris.linearis",80,"Freycinetia.arborea",10,"Clidemia.hirta",10,NA,NA,NA,NA,40,"E",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"538","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0042","POLBIS-KA-HUL-D-0007","alive","moderate","72","0.9","vegetative","2022-02-02","alive","moderate",75,0.7,"vegetative",3,0,0.04,0,"yellow",0,NA,1,"Dicranopteris.linearis",100,NA,NA,NA,NA,NA,NA,NA,NA,30,"E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"535","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0046","POLBIS-KA-HUL-D-0007","not.found","not.found","not.found","not.found","not.found","2022-02-02","alive","moderate",64,1.1,"vegetative",NA,NA,NA,NA,"yellow spots",0,NA,1,"Dicranopteris.linearis",90,"Clidemia.hirta",10,NA,NA,NA,NA,NA,NA,30,"NE",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"537","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0047","POLBIS-KA-HUL-D-0007","alive","moderate","74","0.7","vegetative","2022-02-02","alive","moderate",76,0.8,"vegetative",2,0.1,0.026315789,0.125,"yellow",0,NA,1.25,"Dicranopteris.linearis",80,"Clidemia.hirta",10,"Nephrolepis.spp",10,NA,NA,NA,NA,40,"E",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Laauhihaihai",20160796,"536","2018-01-01",NA,NA,"POLBIS-KA-HUL-X-0048","POLBIS-KA-HUL-D-0007","alive","moderate","56","0.7","vegetative","2022-02-02","alive","moderate",54,0.8,"vegetative",0,0.1,0,0.125,"yellow",0,NA,1.25,"Dicranopteris.linearis",90,"Clidemia.hirta",10,NA,NA,NA,NA,NA,NA,40,"E",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
