,site,ntbg.accession,ntbg.plant.number,plt.date,gpslatdec,gpslongdec,kpep.georef,founder.georef,X19.survival,X19.vigor,X19.height,X19.diameter,X19.reproduction,X21.date.monitored,X21.survival,X21.vigor,X21.height,X21.diameter,X21.reproduction,change.height,change.diam,rel.delta.height,rel.delta.diam,comments,canopy.cover,percent.native,understory.height,species1,species1.percent,species2,species2.percent,species3,species3.percent,species4,species4.percent,species5,species5.percent,slope.angle,aspect,Ageratum.conyzoides,Alyxia.stellata,Andropogon.spp,Antidesma.platyphyllum,Asplenium.spp,Bidens.spp,Blechnum.appendiculatum,Christella.dentata,Cibotium.glaucum,Clidemia.hirta,Cordyline.fruticosa,Cyanea.spp,Cyperus.spp,Cyrtandra.spp,Dianella.sandwicensis,Dicranopteris.linearis,Diospyros.sandwicensis,Diplazium.sandwichianum,Diplopterygium.pinnatum,Doryopteris.spp,Dryopteris.spp,Dubautia.spp,Elaphoglossum.spp,Elephantopus.mollis,Freycinetia.arborea,Gahnia.beecheyi,Hydrangea.arguta,Ilex.anomala,Invasive.Grass,invherb,invwood,Ipomea.spp,Kadua.spp,Leptecophylla.tameiameiae,Leucaena.leucocephala,Machaerina.angustifolia,Machaerina.mariscoides,Megathyrsus.maximus,Melastoma.septemnervium,Melinis.minutiflora,Metrosideros.polymorpha,Microlepia.strigosa.,Myrsine.lessertiana,nativeherb,nativewood,Nephrolepis.spp,Odontosoria.chinensis,Oplismenus.hirtellus,Paederia.foetida,Palhinhaea.cernua,Passiflora.spp,Peperomia.spp,Perrottetia.sandwicensis,Phaius.tankervilleae,Phlebotium.aureum,Pipturus.albidus,Pipturus.ruber,Pluchea.spp,Polyscias.oahuensis,Psidium.cattleyanum,Psychotria.mariniana,Psychotria.spp,Rubus.argutus,Sadleria.cyatheoides,Sadleria.spp,Scaevola.gaudichaudiana,Scaevola.procera,Schinus.terebinthifolius,Selaginella.spp,Stachytarpheta.cayennensis,Syzygium.sandwicense,Tectaria.gaudichaudii,Vaccinium.calycinum,Viola.wailenalenae,NA.,angles,genetic.group,weed.control,native.herbaceous,native.fern,native.woody,uluhe,naturalized.herbaceous,naturalized.woody,naturalized.poaceae,naturalized.fern
154,HaupuSummit,20160755,512,11/21/17,21.925809,-159.400959,POLBIS-KA-HUL-W-0164,POLBIS-KA-HUL-C-0003,alive,healthy,65,1,vegetative,1/17/22,alive,healthy,75,1.2,vegetative,10,0.2,0.133333333,0.166666667,NA,30,100,1,Clidemia.hirta,20,Invasive.Grass,40,Pipturus.albidus,20,Christella.dentata,10,Blechnum.appendiculatum,10,40,N,0,0,0,0,0,0,10,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,haupu,sporadic,0,0,20,0,0,20,40,20
155,HaupuSummit,20160755,513,11/21/17,21.926168,-159.402893,POLBIS-KA-HUL-W-0202,POLBIS-KA-HUL-C-0003,alive,moderate,73,1.1,vegetative,11/22/21,alive,healthy,82,1.4,vegetative,9,0.3,0.109756098,0.214285714,NA,40,100,1.3,Metrosideros.polymorpha,40,Invasive.Grass,20,Blechnum.appendiculatum,20,Elephantopus.mollis,10,NA,NA,40,E,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,40,haupu,sporadic,0,0,40,0,10,0,20,20
156,HaupuSummit,20160755,514,11/21/17,21.926095,-159.402792,POLBIS-KA-HUL-W-0151,POLBIS-KA-HUL-C-0003,alive,moderate,68,1.2,vegetative,11/22/21,alive,healthy,82,1.4,vegetative,14,0.2,0.170731707,0.142857143,NA,0,NA,0.5,Invasive.Grass,80,Invasive.Grass,10,Nephrolepis.spp,10,Dicranopteris.linearis,10,NA,NA,30,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,30,haupu,sporadic,0,0,0,10,0,0,90,10
157,HaupuSummit,20160755,515,11/21/17,21.926068,-159.402712,POLBIS-KA-HUL-W-0204,POLBIS-KA-HUL-C-0003,not.found,not.found,NA,NA,not.found,11/22/21,alive,healthy,63,1.2,vegetative,NA,NA,NA,NA,NA,0,NA,0.25,Invasive.Grass,50,Nephrolepis.spp,30,Invasive.Grass,10,Dicranopteris.linearis,10,NA,NA,45,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,45,haupu,sporadic,0,0,0,10,0,0,60,30
158,HaupuSummit,20160755,516,11/21/17,21.926056,-159.402785,POLBIS-KA-HUL-W-0195,POLBIS-KA-HUL-C-0003,alive,moderate,61,0.6,vegetative,11/22/21,alive,poor,63,0.9,vegetative,2,0.3,0.031746032,0.333333333,skinny bitch,0,NA,1,Oplismenus.hirtellus,80,Nephrolepis.spp,20,Invasive.Grass,10,Invasive.Grass,10,NA,NA,20,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,haupu,sporadic,0,0,0,0,0,0,100,20
159,HaupuSummit,20160755,517,11/21/17,21.925875,-159.402468,POLBIS-KA-HUL-W-0206,POLBIS-KA-HUL-C-0003,not.found,not.found,NA,NA,not.found,11/22/21,alive,moderate,56,0.8,vegetative,NA,NA,NA,NA,NA,0,NA,0.25,Palhinhaea.cernua,50,Nephrolepis.spp,20,Selaginella.spp,10,Dicranopteris.linearis,10,Bidens.spp,10,80,N,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,80,haupu,sporadic,10,50,0,10,10,0,0,20
160,HaupuSummit,20160755,518,11/21/17,21.925839,-159.402401,POLBIS-KA-HUL-W-0209,POLBIS-KA-HUL-C-0003,not.found,not.found,NA,NA,not.found,11/22/21,alive,healthy,47,0.7,vegetative,NA,NA,NA,NA,NA,0,NA,0.5,Dicranopteris.linearis,50,Metrosideros.polymorpha,20,Nephrolepis.spp,30,Invasive.Grass,10,Rubus.argutus,10,20,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,haupu,sporadic,0,0,20,50,10,0,10,30
161,HaupuSummit,20160755,519,11/21/17,21.925786,-159.402324,POLBIS-KA-HUL-W-0168,POLBIS-KA-HUL-C-0003,alive,moderate,47,0.7,vegetative,11/24/21,alive,moderate,38,0.9,vegetative,0,0.2,0,0.222222222,NA,0,NA,0.25,Dicranopteris.linearis,80,Invasive.Grass,20,Phlebotium.aureum,10,Rubus.argutus,10,NA,NA,40,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,40,haupu,sporadic,0,0,0,80,10,0,20,10
162,HaupuSummit,20160755,520,11/21/17,21.92538,-159.401843,POLBIS-KA-HUL-W-0210,POLBIS-KA-HUL-C-0003,alive,moderate,30,0.6,vegetative,11/24/21,alive,poor,38,0.6,vegetative,8,0,0.210526316,0,broken resprout,0,NA,0.25,Invasive.Grass,40,Dicranopteris.linearis,10,Metrosideros.polymorpha,10,Invasive.Grass,10,Paederia.foetida,10,10,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,haupu,sporadic,0,0,10,10,10,0,50,0
163,HaupuSummit,20160755,521,11/21/17,21.925594,-159.402058,POLBIS-KA-HUL-W-0160,POLBIS-KA-HUL-C-0003,alive,moderate,38,0.8,vegetative,12/20/21,alive,healthy,60,0.9,vegetative,22,0.1,0.366666667,0.111111111,"Kevin doesn't have this one, broken and regrown",0,NA,1,Melastoma.septemnervium,50,Dicranopteris.linearis,50,Rubus.argutus,20,Nephrolepis.spp,10,NA,NA,10,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,NA,10,haupu,sporadic,0,0,0,50,20,50,0,10
