"model","threshold","thr_value","n_presences","n_absences","TPR_mean","TPR_sd","TNR_mean","TNR_sd","SORENSEN_mean","SORENSEN_sd","JACCARD_mean","JACCARD_sd","FPB_mean","FPB_sd","OR_mean","OR_sd","TSS_mean","TSS_sd","AUC_mean","AUC_sd","BOYCE_mean","BOYCE_sd","IMAE_mean","IMAE_sd"
"esm_glm","equal_sens_spec",-0.00247658,60,6000,0.15,0.232047740446129,0.2205,0.147730311765206,0.00648159690553893,0.0101186303738095,0.0032766553921815,0.00511632795646758,0.00655331078436301,0.0102326559129352,0.85,0.232047740446129,-0.6295,0.359670274769415,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
"esm_glm","lpt",-0.04529243,60,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"esm_glm","max_fpb",-0.04529243,60,6000,0.925,0.21333733970597,0.215166666666667,0.193383356334309,0.0230525944758116,0.00998552104728076,0.0116858895645841,0.00511460915507085,0.0233717791291683,0.0102292183101417,0.075,0.21333733970597,0.140166666666667,0.155620163628096,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
"esm_glm","max_jaccard",-0.04529243,60,6000,0.925,0.21333733970597,0.215166666666667,0.193383356334309,0.0230525944758116,0.00998552104728076,0.0116858895645841,0.00511460915507085,0.0233717791291683,0.0102292183101417,0.075,0.21333733970597,0.140166666666667,0.155620163628096,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
"esm_glm","max_sens_spec",-0.04529243,60,6000,0.9,0.281934707844174,0.255666666666667,0.258196903594216,0.0222451530960558,0.011123259964261,0.0112788517494581,0.00568471959715448,0.0225577034989162,0.011369439194309,0.1,0.281934707844174,0.155666666666667,0.118965627442638,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
"esm_glm","max_sorensen",-0.04529243,60,6000,0.925,0.21333733970597,0.215166666666667,0.193383356334309,0.0230525944758116,0.00998552104728076,0.0116858895645841,0.00511460915507085,0.0233717791291683,0.0102292183101417,0.075,0.21333733970597,0.140166666666667,0.155620163628096,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
"esm_glm","sensitivity",-0.03520844,60,6000,0.2375,0.252868162670408,0.154333333333333,0.122821065965958,0.0075310345396725,0.00822780500394424,0.00379645672594252,0.00414949749022187,0.00759291345188503,0.00829899498044375,0.7625,0.252868162670408,-0.608166666666667,0.28328350491962,0.188416666666667,0.123193470014165,-0.424690595944863,0.359510857387959,0.965572040145705,0.0120952123953395
