"model","threshold","thr_value","n_presences","n_absences","TPR_mean","TPR_sd","TNR_mean","TNR_sd","SORENSEN_mean","SORENSEN_sd","JACCARD_mean","JACCARD_sd","FPB_mean","FPB_sd","OR_mean","OR_sd","TSS_mean","TSS_sd","AUC_mean","AUC_sd","BOYCE_mean","BOYCE_sd","IMAE_mean","IMAE_sd"
"esm_gam","equal_sens_spec",0.02221551,60,6000,1,0,0.931833333333333,0.0316853296331301,0.256413419097243,0.122942381917339,0.152981457826659,0.08634342084489,0.305962915653318,0.17268684168978,0,0,0.931833333333333,0.0316853296331302,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","lpt",0.01350223,60,6000,1,0,0.931833333333333,0.0316853296331301,0.256413419097243,0.122942381917339,0.152981457826659,0.08634342084489,0.305962915653318,0.17268684168978,0,0,0.931833333333333,0.0316853296331302,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","max_fpb",0.03393851,60,6000,0.8625,0.226101293388151,0.943666666666667,0.0394824061939036,0.288103216228216,0.167732451344198,0.180732526202727,0.130965162579094,0.361465052405455,0.261930325158188,0.1375,0.226101293388151,0.806166666666667,0.200099049547042,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","max_jaccard",0.03393851,60,6000,0.8625,0.226101293388151,0.943666666666667,0.0394824061939036,0.288103216228216,0.167732451344198,0.180732526202727,0.130965162579094,0.361465052405455,0.261930325158188,0.1375,0.226101293388151,0.806166666666667,0.200099049547042,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","max_sens_spec",0.01350223,60,6000,1,0,0.931833333333333,0.0316853296331301,0.256413419097243,0.122942381917339,0.152981457826659,0.08634342084489,0.305962915653318,0.17268684168978,0,0,0.931833333333333,0.0316853296331302,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","max_sorensen",0.03393851,60,6000,0.8625,0.226101293388151,0.943666666666667,0.0394824061939036,0.288103216228216,0.167732451344198,0.180732526202727,0.130965162579094,0.361465052405455,0.261930325158188,0.1375,0.226101293388151,0.806166666666667,0.200099049547042,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
"esm_gam","sensitivity",0.02087074,60,6000,0.25,0.253184841770917,0.936,0.0316245784179641,0.0955566193066193,0.110944594711532,0.0538294099691159,0.0644259071270667,0.107658819938232,0.128851814254133,0.75,0.253184841770917,0.186,0.257818151863284,0.941333333333333,0.0330397326203456,0.994134247821611,0.00588725092847765,0.981015419528116,0.00268189068535019
