"site","lat","lon","healthy_proportion"
"BlueHole",22.0642759047619,-159.491613654762,0.273809523809524
"HaupuSummit",21.9255468466667,-159.40178284,0.61437908496732
"Kanaele",21.971918,-159.506296,0
"Laauhihaihai",21.960938875,-159.4950835,0.310344827586207
"LowerHaupu",21.9279003529412,-159.392573529412,0.411764705882353
"LowerLimahuli",22.2138807166667,-159.5776184,0.704918032786885
"Makaleha",22.1098197142857,-159.394025857143,0.642857142857143
"McBryde",21.904626375,-159.50932575,0.75
"Nounou",22.05576,-159.361322333333,0.666666666666667
"PuuKolo",21.9528,-159.48726,0.9
"UpperLimahuli",22.187422275,-159.5813037,0.225
